CRSP Ticker,Fiscal Quarter,Net Income,Operating Income,EPS Diluted,EPS Basic,CEO Dismissal,10 Year Treasury Yield,3 Month Treasury Yield,3 Month Treasury Yield (Bond Equivalent Basis),Spread,Recession Probability,Recession,Adjusted Close,GICS Sector,GICS Sub-Industry,Date added,Beta,Average Closing Price,Dividend Yield,Unemployment Rate,GDP Growth Rate,Inflation Rate (CPI),Federal Funds Rate,Consumer Sentiment Index,Private Nonresidential Investment,Labor Force Participation Rate,Industrial Production Index,Housing Starts,Corporate Profits,Real Disposable Personal Income,SP500_Return,Company_Growth,Outperformed
ABT,2008Q1,,0.1386277639824997,,,0,3.6633333333333336,2.0433333333333334,2.0834396394138,1.5798936939195336,0.3987996428648817,1.0,18.28433609008789,Health Care,Health Care Equipment,1957-03-04,0.722,18.266201559702555,0.0085368049558815,5.0,-1.7,212.76966666666667,3.1766666666666663,72.89999999999999,2053.812,66.10000000000001,101.7919,1064.0,1325.635,12141.6,-0.0991991307532211,,0
ABT,2008Q2,0.1923140552365326,0.1807492480175007,0.85,0.86,0,3.8866666666666663,1.6266666666666667,1.6562230748400222,2.2304435918266443,0.3030280506635704,1.0,17.67964744567871,Health Care,Health Care Equipment,1957-03-04,0.722,,,,,,,,,,,,,,-0.0322824168353859,-0.033071402835183394,0
ABT,2008Q3,0.1862593862117716,0.1446576950264748,0.69,0.7,0,3.8633333333333337,1.4933333333333332,1.5199855998651064,2.3433477334682267,0.2329694476895014,1.0,19.33970642089844,Health Care,Health Care Equipment,1957-03-04,0.722,,,,,,,,,,,,,,-0.0887812614440918,0.09389661079613232,1
ABT,2008Q4,,0.1932289693458773,,,0,3.2533333333333334,0.2966666666666667,0.3012028045748317,2.952130528758502,0.1522997496809234,1.0,18.05501937866211,Health Care,Health Care Equipment,1957-03-04,0.722,17.994747888474237,0.0095988007762327,6.866666666666667,-8.5,213.84866666666667,0.5066666666666667,57.666666666666664,1901.929,65.89999999999999,92.7956,663.0,773.27,12291.733333333332,-0.2255821432970853,-0.06642743246857674,1
ABT,2009Q1,0.1578886341986187,0.2141283638961657,0.92,0.93,0,2.736666666666667,0.2133333333333333,0.2164253779869603,2.5202412886797063,0.0730812643066858,1.0,16.25375747680664,Health Care,Health Care Equipment,1957-03-04,0.722,17.221221907933554,0.0100299503091837,8.266666666666667,-4.5,212.37766666666667,0.1833333333333333,58.26666666666667,1758.633,65.7,87.56103333333334,525.6666666666666,1125.916,12282.033333333333,-0.116667594666828,-0.09976516026253879,1
ABT,2009Q2,0.2230076451987351,0.171863533869698,0.83,0.83,0,3.313333333333334,0.1733333333333333,0.1758180030811914,3.137515330252142,0.0261253099186416,1.0,16.175817489624023,Health Care,Health Care Equipment,1957-03-04,0.722,,,,,,,,,,,,,,0.1522177960698889,-0.004795198113041521,0
ABT,2009Q3,0.2112729826188911,0.1907412418022754,0.95,0.96,0,3.516666666666667,0.1566666666666666,0.1589072896908195,3.357759376975847,0.0224396303913159,0.0,17.162601470947266,Health Care,Health Care Equipment,1957-03-04,0.722,,,,,,,,,,,,,,0.1498498320856021,0.06100365449574441,0
ABT,2009Q4,0.2120348478124328,0.1750533867221411,0.99,0.99,0,3.4599999999999995,0.0566666666666666,0.057462162507616,3.402537837492384,0.0101404407322391,0.0,18.881778717041016,Health Care,Health Care Equipment,1957-03-04,0.722,18.154793209499783,0.0105713129191454,9.933333333333334,4.4,217.03,0.12,70.16666666666667,1706.564,64.86666666666666,87.92003333333332,567.6666666666666,1499.252,12232.6,0.0548870680963402,0.10016996834681269,1
ABT,2010Q1,0.1910115088849631,0.1302868128442273,0.64,0.65,0,3.716666666666667,0.1066666666666666,0.1081807928599053,3.6084858738067616,0.0168055414294647,0.0,18.55819320678711,Health Care,Health Care Equipment,1957-03-04,0.722,18.93050537109375,0.0101381339926114,9.833333333333334,1.9,217.374,0.1333333333333333,73.86666666666666,1718.732,64.86666666666667,89.60996666666666,618.0,1570.962,12306.033333333333,0.0487221588328452,-0.01713744849482146,0
ABT,2010Q2,0.1819585316111489,0.1463516881939723,0.83,0.84,0,3.49,0.1466666666666666,0.1487597669034693,3.341240233096531,0.0067115813103124,0.0,16.618558883666992,Health Care,Health Care Equipment,1957-03-04,0.722,,,,,,,,,,,,,,-0.1186219666009427,-0.10451633418768125,1
