CRSP Ticker,Fiscal Quarter,Operating Income,GICS Sub-Industry,Consumer Sentiment Index,GDP Growth Rate,Adjusted Close,SP500_Return,Outperformed,CEO Dismissal
ABT,2008Q1,0.1386277639824997,Health Care Equipment,72.89999999999999,-1.7,18.28433609008789,-0.0991991307532211,0,0
ABT,2008Q2,0.1807492480175007,Health Care Equipment,67.82222222222222,-3.966666666666667,17.67964744567871,-0.0322824168353859,0,0
ABT,2008Q3,0.1446576950264748,Health Care Equipment,62.74444444444444,-6.233333333333333,19.33970642089844,-0.0887812614440918,1,0
ABT,2008Q4,0.1932289693458773,Health Care Equipment,57.666666666666664,-8.5,18.05501937866211,-0.2255821432970853,1,0
ABT,2009Q1,0.2141283638961657,Health Care Equipment,58.26666666666667,-4.5,16.25375747680664,-0.116667594666828,1,0
ABT,2009Q2,0.171863533869698,Health Care Equipment,62.23333333333334,-1.5333333333333332,16.175817489624023,0.1522177960698889,0,0
ABT,2009Q3,0.1907412418022754,Health Care Equipment,66.2,1.4333333333333336,17.162601470947266,0.1498498320856021,0,0
ABT,2009Q4,0.1750533867221411,Health Care Equipment,70.16666666666667,4.4,18.881778717041016,0.0548870680963402,1,0
ABT,2010Q1,0.1302868128442273,Health Care Equipment,73.86666666666666,1.9,18.55819320678711,0.0487221588328452,0,0
ABT,2010Q2,0.1463516881939723,Health Care Equipment,73.0,1.9666666666666666,16.618558883666992,-0.1186219666009427,1,0
ABT,2010Q3,0.1026802697561819,Health Care Equipment,72.13333333333333,2.033333333333333,18.73056602478028,0.1071979455150282,1,0
ABT,2010Q4,0.1445423227403461,Health Care Equipment,71.26666666666667,2.1,17.32047462463379,0.1020330077625684,0,0
ABT,2011Q1,0.0955435852625291,Health Care Equipment,73.06666666666666,-0.9,17.8972110748291,0.0542205564485891,0,1
ABT,2011Q2,0.2020319665567838,Health Care Equipment,70.3111111111111,0.9333333333333332,19.382137298583984,-0.0039144849477483,1,0
ABT,2011Q3,0.0308861430012122,Health Care Equipment,67.55555555555556,2.7666666666666666,19.00820541381836,-0.1432789924614669,1,0
ABT,2011Q4,0.1559350126235858,Health Care Equipment,64.8,4.6,21.092214584350582,0.1115235073975089,0,0
